                    durationSecs  likeCount  commentCount  View-to-Like Ratio     Views  tagCount  noOfWordsInTitle  Comments per View  Views per Minute  Interaction Rate
durationSecs            1.000000   0.665131      0.665184           -0.050652  0.694545 -0.370636          0.282622          -0.373719          0.336520         -0.052719
likeCount               0.665131   1.000000      0.941427            0.010385  0.946494 -0.436619          0.169884          -0.397800          0.639691          0.008159
commentCount            0.665184   0.941427      1.000000           -0.045539  0.877442 -0.427912          0.154250          -0.381774          0.639077         -0.047654
View-to-Like Ratio     -0.050652   0.010385     -0.045539            1.000000 -0.045563  0.022641          0.034187           0.066528         -0.031577          0.999984
Views                   0.694545   0.946494      0.877442           -0.045563  1.000000 -0.405340          0.200100          -0.406599          0.618689         -0.047816
tagCount               -0.370636  -0.436619     -0.427912            0.022641 -0.405340  1.000000         -0.096334           0.200866         -0.291882          0.023754
noOfWordsInTitle        0.282622   0.169884      0.154250            0.034187  0.200100 -0.096334          1.000000          -0.101507          0.073471          0.033607
Comments per View      -0.373719  -0.397800     -0.381774            0.066528 -0.406599  0.200866         -0.101507           1.000000         -0.268682          0.072086
Views per Minute        0.336520   0.639691      0.639077           -0.031577  0.618689 -0.291882          0.073471          -0.268682          1.000000         -0.033066
Interaction Rate       -0.052719   0.008159     -0.047654            0.999984 -0.047816  0.023754          0.033607           0.072086         -0.033066          1.000000
