Content Type,Video title,Video publish date,Video publish year,definition,caption,pushblishDayName,tagCount,noOfWordsInTitle,durationSecs,likeCount,commentCount,Views,View-to-Like Ratio,Comments per View,Views per Minute,Interaction Rate
Video,I Survived A Plane Crash,20-08-2022,2022,hd,FALSE,Saturday,0,5,494,2087088,68069,42003849,4.968801788,0.162054197,5101682.065,5.130855984
Video,100000000 Subscriber Special,22-08-2022,2022,hd,FALSE,Sunday,0,3,15,1302211,91010,20088769,6.482283708,0.453039208,80355076,6.935322916
Video,100 Girls Vs 100 Boys For $500000,23-08-2022,2022,hd,TRUE,Saturday,0,7,1013,2979131,131689,73775726,4.038091065,0.178499091,4369736.979,4.216590156
Video,I Didnt Eat Food For 30 Days,24-08-2022,2022,hd,TRUE,Saturday,0,7,784,2503329,101765,51874612,4.825730552,0.196174961,3969995.816,5.021905513
Video,$10000 Every Day You Survive Prison,26-08-2022,2022,hd,TRUE,Saturday,0,6,839,3558864,157736,94803347,3.753943413,0.166382311,6779738.76,3.920325724
Video,Would You Swim With Sharks For $100000?,27-08-2022,2022,hd,TRUE,Saturday,0,7,540,2907808,104439,86411633,3.365065442,0.120862199,9601292.556,3.485927641
Video,Extreme $1000000 Hide And Seek,29-08-2022,2022,hd,TRUE,Saturday,0,5,729,3204903,136334,72716579,4.407389682,0.187486818,5984903.621,4.5948765
Video,$1000000 Influencer Tournament!,30-08-2022,2022,hd,TRUE,Thursday,0,3,725,2810083,92112,58371782,4.814112065,0.157802275,4830768.166,4.97191434
Video,I Got Hunted By The Military,31-08-2022,2022,hd,TRUE,Friday,0,6,662,3040477,97024,83510644,3.640825713,0.116181597,7568940.544,3.75700731
Video,Last To Take Hand Off Lamborghini Keeps It,03-09-2022,2022,hd,TRUE,Saturday,0,8,943,3528002,129164,98391791,3.58566702,0.131275179,6260347.253,3.716942199
Video,First To Rob Bank Wins $100000,04-09-2022,2022,hd,TRUE,Sunday,0,6,482,2839239,123144,81994727,3.462709254,0.150185267,10206812.49,3.612894522
Video,Extreme $500000 Game Of Tag!,05-09-2022,2022,hd,TRUE,Saturday,0,5,760,3141935,101461,80245375,3.915409455,0.12643844,6335161.184,4.041847895
Video,I Got Hunted By The FBI,07-09-2022,2022,hd,TRUE,Saturday,0,6,951,2996794,92083,103537282,2.894410537,0.088937046,6532320.631,2.983347583
Video,If You Can Carry $1000000 You Keep It!,08-09-2022,2022,hd,TRUE,Saturday,0,8,645,2419011,73564,87105888,2.777092405,0.084453533,8102873.302,2.861545938
Video,Would YOU Quit School For $100000?,09-09-2022,2022,hd,TRUE,Saturday,0,6,694,2308480,80950,74946939,3.08015248,0.108009748,6479562.45,3.188162228
Video,I Survived 50 Hours In A Maximum Security Prison,10-09-2022,2022,hd,TRUE,Saturday,0,9,754,2638612,98287,118353802,2.229427323,0.083045072,9418074.43,2.312472395
Video,Hit The Target Win $300000,11-09-2022,2022,hd,TRUE,Saturday,0,5,818,2801752,86026,107563415,2.604744373,0.079977007,7889737.042,2.68472138
Video,Anything You Can Fit In The Triangle I’ll Pay For,12-09-2022,2022,hd,TRUE,Tuesday,0,10,968,2490713,87290,91649750,2.717642983,0.095243031,5680769.628,2.812886014
Video,I Got Hunted By A Real Bounty Hunter,13-09-2022,2022,hd,TRUE,Saturday,0,8,861,3131423,126998,106796508,2.932139879,0.118915873,7442265.366,3.051055752
Video,Extreme $100000 Game of Tag!,14-09-2022,2022,hd,TRUE,Saturday,0,5,1014,2684025,119457,109701349,2.446665446,0.108892918,6491204.083,2.555558364
Video,Would You Sit In Snakes For $10000?,15-09-2022,2022,hd,TRUE,Saturday,0,7,849,3849521,138489,158173540,2.433732595,0.087555099,11178342.05,2.521287695
Video,I Bought The Worlds Largest Mystery Box! ($500000),16-09-2022,2022,hd,TRUE,Saturday,0,8,709,3582751,169661,137117169,2.612912027,0.123734322,11603709.65,2.73664635
Video,Offering People $100000 To Quit Their Job,18-09-2022,2022,hd,TRUE,Saturday,0,7,627,2874553,119216,94817375,3.031673256,0.12573223,9073433.014,3.157405486
Video,I Sold My House For $1,19-09-2022,2022,hd,TRUE,Saturday,0,6,560,3019876,117190,96702186,3.122862186,0.121186506,10360948.5,3.244048692
Video,If You Press This I’ll Pay...,20-09-2022,2022,hd,TRUE,Saturday,0,6,664,2755614,153011,46331329,5.947625634,0.330253855,4186565.873,6.277879488
Video,I Put 1000000 Christmas Lights On A House (World Record),24-09-2022,2022,hd,TRUE,Wednesday,0,10,683,2267894,109568,61734658,3.673615556,0.177482153,5423249.605,3.851097709
Video,Steal This $100000 Diamond You Keep It,27-09-2022,2022,hd,TRUE,Saturday,0,7,843,2752682,95013,124063892,2.218761604,0.076583927,8830170.249,2.295345531
Video,Press This Button To Win $100000!,28-09-2022,2022,hd,TRUE,Saturday,0,6,911,3222132,89174,188563644,1.708776905,0.047291195,12419120.35,1.7560681
Video,I Uber’d People And Let Them Keep The Car,30-09-2022,2022,hd,TRUE,Saturday,0,9,851,2826720,83972,76564559,3.691943161,0.109674765,5398206.275,3.801617926
Video,$300000 Influencer Trivia Tournament!,01-10-2022,2022,hd,TRUE,Sunday,4,4,1445,2114947,118405,55280450,3.825849826,0.214189646,2295382.007,4.040039471
Video,I Filled My Brother’s House With Slime & Bought Him A New One,02-10-2022,2022,hd,TRUE,Saturday,0,13,565,2951781,118101,117197352,2.518641377,0.100771048,12445736.5,2.619412425
Video,Would You Rather Have A Giant Diamond or $100000?,04-10-2022,2022,hd,TRUE,Saturday,0,9,805,2275601,73502,102169983,2.227269628,0.071940895,7615154.012,2.299210523
Video,Why I Haven’t Been Uploading,06-10-2022,2022,hd,TRUE,Thursday,0,5,382,2246115,97528,36166740,6.210443629,0.269662126,5680639.791,6.480105755
Video,Get This Random Person 1000000 Subscribers,07-10-2022,2022,hd,TRUE,Saturday,0,6,845,1917381,123049,47984700,3.995817417,0.256433822,3407197.633,4.252251238
Video,Would YOU Rather Have A Lamborghini or This House?,08-10-2022,2022,hd,TRUE,Saturday,0,9,1102,3342867,154694,152303996,2.194864933,0.101569233,8292413.575,2.296434166
Video,I Bought A Private Island,10-10-2022,2022,hd,TRUE,Thursday,0,5,697,3057388,129302,94025705,3.251651237,0.137517714,8094034.864,3.389168951
Video,I Spent $1000000 On Lottery Tickets and WON,11-10-2022,2022,hd,TRUE,Saturday,0,8,613,2444647,84957,73591770,3.321902707,0.115443616,7203109.625,3.437346323
Video,I Ate The World’s Largest Slice Of Pizza,12-10-2022,2022,hd,TRUE,Saturday,0,8,483,3082678,130754,134046621,2.299705861,0.097543675,16651754.16,2.397249536
Video,Would You Rather Have $100000 OR This Mystery Key?,16-10-2022,2022,hd,TRUE,Saturday,0,9,1101,3102161,119514,144357970,2.148936425,0.082790025,7866919.346,2.231726451
Video,I Built The Worlds Largest Lego Tower,17-10-2022,2022,hd,TRUE,Saturday,0,7,836,2431010,74217,94416019,2.574785535,0.078606364,6776269.306,2.6533919
Video,I Spent 50 Hours In Solitary Confinement,18-10-2022,2022,hd,TRUE,Saturday,0,7,952,3535473,111216,192224044,1.839245979,0.057857486,12114960.76,1.897103465
Video,I Gave $200000 To People Who Lost Their Jobs (Corona Virus),20-10-2022,2022,hd,TRUE,Thursday,0,11,919,1339429,67232,37514353,3.570444091,0.179216739,2449250.468,3.74966083
Video,Videos I Could Not Upload...,21-10-2022,2022,hd,TRUE,Thursday,0,5,812,2489550,62290,77258311,3.222371765,0.08062563,5708742.192,3.302997395
Video,$250000 Influencer Rock Paper Scissors Tournament,22-10-2022,2022,hd,TRUE,Sunday,0,6,1680,1604473,56575,44753767,3.585112735,0.12641394,1598348.821,3.711526674
Video,I Spent 24 Hours In A Doomsday Bunker,23-10-2022,2022,hd,TRUE,Saturday,0,8,719,2301557,79390,120735393,1.906281947,0.065755366,10075276.19,1.972037313
Video,Giving $1000000 Of Food To People In Need,24-10-2022,2022,hd,TRUE,Friday,0,8,749,1395106,66788,30469365,4.578717016,0.219197217,2440803.605,4.797914233
